acoustic_tag_id,scientific_name,length_mm,weight_g,release_date_time,release_location,release_site,release_latitude,release_longitude,tag_model,tag_manufacturer,protocol
R64K-755,Salmo salar,156,37.1,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-115,Salmo salar,157,38.7,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-756,Salmo salar,155,38.4,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-116,Salmo salar,161,39.5,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-757,Salmo salar,155,35,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-117,Salmo salar,150,31,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-758,Salmo salar,151,35.3,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-118,Salmo salar,152,32.5,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-759,Salmo salar,165,45.5,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-119,Salmo salar,160,42.5,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-760,Salmo salar,165,43.6,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-120,Salmo salar,162,43.1,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-761,Salmo salar,159,40.8,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-121,Salmo salar,162,44.8,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-762,Salmo salar,158,37.8,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-122,Salmo salar,158,38,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-763,Salmo salar,168,45.8,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
OPi-123,Salmo salar,150,31.7,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,OPi
R64K-764,Salmo salar,158,39,2021-03-23T12:00:00Z,R2,Site E,56.35159,9.92598,ID-LP7,Thelma,R64K
